快照日期,board_code,一级行业,二级行业,三级行业,当前排名,当前涨跌幅,今开,最高,最低,现价,振幅,换手率,成交额_亿元,昨日排名,昨日涨跌幅,排名较昨日改善,含今日5日涨跌幅,含今日10日涨跌幅,截至昨日20日涨跌幅,截至昨日60日涨跌幅,当前较60日峰值回撤,6月行情涨跌幅,7月至当前涨跌幅,轮动档位,原始轮动标签,轮动得分,两周涨跌幅,B周涨跌幅,近后半段排名分位,量能后半段前半段比,科技口径
2026-07-17,BK1408,机械设备,自动化设备,机器人,313,-4.6900,10162.6700,10207.4000,9707.8100,9707.8100,4.9000,2.7700,92.6126,310,-1.6400,-3,-12.2159,-15.0243,-7.1419,13.6091,-20.8792,7.9872,-11.8742,退潮,退潮,-20.7000,-10.8428,-7.8962,0.7899,0.5123,非核心科技
2026-07-17,BK1625,有色金属,小金属,钨,315,-4.9000,8578.4700,8619.4500,8098.1000,8175.3100,6.0600,2.1800,46.2156,321,-2.3400,6,-14.6224,-33.8860,-26.4922,-3.5590,-41.2027,39.8280,-33.0625,普通轮动,普通轮动,8.1000,-30.4795,-10.2233,0.6653,0.6324,非核心科技
2026-07-17,BK1462,建筑材料,玻璃玻纤,玻纤制造,316,-5.0400,16582.6500,16635.7000,15694.7500,15788.5300,5.6600,2.8500,117.8541,333,-3.2400,17,-16.4671,-25.4184,-26.8487,29.2474,-37.1473,32.1855,-31.9401,普通轮动,普通轮动,3.8000,-21.4600,-12.0336,0.7769,0.7045,非核心科技
2026-07-17,BK1336,电子,其他电子Ⅱ,其他电子Ⅲ,317,-5.1400,14574.4600,14600.8800,13842.9100,13881.0400,5.1800,2.8800,132.9585,317,-2.1100,0,-18.1362,-20.0970,-19.6879,-8.0037,-25.8192,6.7047,-24.3037,普通轮动,普通轮动,-3.0000,-15.7674,-13.7004,0.8902,0.8687,核心科技
2026-07-17,BK1385,国防军工,航天装备Ⅱ,航天装备Ⅲ,317,-5.1400,4962.4600,4968.2000,4745.7400,4750.6000,4.4400,2.0400,63.1184,319,-2.2900,2,-14.4576,-15.7499,-12.5452,-23.2161,-37.6369,-3.2715,-15.5387,退潮,退潮,-13.6000,-11.1848,-9.8225,0.7306,1.2923,非核心科技
2026-07-17,BK1584,食品饮料,休闲食品,熟食,317,-5.1400,2004.2500,2020.4600,1910.9500,1911.5900,5.4300,1.0700,1.7829,259,-0.4300,-58,-3.3765,-5.7336,-6.6432,-13.6843,-24.6124,-19.2136,-1.7778,普通轮动,普通轮动,15.9000,-0.6258,1.8590,0.4736,0.7918,非核心科技
2026-07-17,BK1339,电子,元件,被动元件,320,-5.1500,12829.8500,12890.5500,12183.1000,12244.4200,5.4800,3.6300,152.8038,324,-2.5300,4,-20.1192,-27.9075,-23.9264,40.4540,-33.4545,28.6683,-32.7823,普通轮动,普通轮动,3.8000,-23.9931,-15.7819,0.7893,0.7384,核心科技
2026-07-17,BK1599,医药生物,医疗服务,其他医疗服务,321,-5.5200,4112.7600,4132.4200,3924.5000,3930.6600,5.0000,4.5300,8.3558,311,-1.7300,-10,-1.7378,-5.1356,-2.0909,-22.2210,-29.2419,-21.1631,0.3401,普通轮动,普通轮动,24.2000,0.4069,4.0031,0.3668,1.3656,非核心科技
2026-07-17,BK1409,机械设备,自动化设备,激光设备,321,-5.5200,17861.8800,17948.3600,16832.6700,16923.2100,6.2300,3.5600,123.2887,329,-2.8600,8,-19.4807,-22.8566,-22.1391,3.1497,-32.0739,18.5081,-31.3173,普通轮动,普通轮动,-2.7000,-18.3495,-14.7764,0.8196,1.0598,非核心科技
2026-07-17,BK1328,电子,半导体,集成电路封测,323,-5.5300,9289.6100,9332.3000,8810.2800,8857.5500,5.5700,7.7100,325.3108,331,-2.9800,8,-23.7864,-19.2791,-4.1698,32.0098,-24.2103,29.6567,-24.2103,退潮,退潮,-12.8000,-14.5539,-19.3251,0.9371,1.1671,核心科技
2026-07-17,BK1334,电子,光学光电子,光学元件,324,-5.6600,15786.4500,15797.3300,14932.2800,14987.2000,5.4500,2.3600,98.6313,327,-2.7600,3,-19.5884,-25.2849,-21.7390,-6.3709,-28.6832,14.6312,-28.6832,普通轮动,普通轮动,-3.8000,-20.8023,-14.7640,0.8510,0.7358,核心科技
2026-07-17,BK1595,医药生物,化学制药,原料药,325,-5.9100,3840.4100,3853.1600,3644.8500,3644.9300,5.3800,2.6900,96.1165,313,-1.8500,-12,-1.0550,-5.7266,6.1954,-7.8581,-16.1325,-5.3103,-0.4208,上升轮动,上升轮动,39.0000,0.1950,5.1600,0.3122,0.8993,非核心科技
2026-07-17,BK1330,电子,半导体,模拟芯片设计,326,-6.1400,6673.5600,6695.4500,6298.5600,6302.3000,5.9100,2.4100,125.8707,308,-1.6100,-18,-20.9071,-19.9597,-9.6277,9.8834,-23.2091,18.1762,-23.2091,普通轮动,普通轮动,-3.0000,-14.7237,-15.7332,0.9228,0.8147,核心科技
2026-07-17,BK1298,传媒,数字媒体,文字媒体,327,-6.1500,2407.9200,2439.2600,2226.2200,2234.2800,8.9500,5.0200,11.7490,46,1.3300,-281,-9.1624,-13.1274,-4.6022,-23.3128,-34.6428,-12.0998,-10.7332,普通轮动,普通轮动,22.5000,-7.4346,-3.2099,0.4944,0.9760,非核心科技
2026-07-17,BK1594,医药生物,化学制药,化学制剂,328,-6.3000,3999.8500,4024.1500,3786.2000,3786.5700,5.8900,3.6800,432.6109,322,-2.3600,-6,-0.0655,-2.8280,12.1018,-10.4473,-15.9020,-8.6991,4.2834,持续主线,持续主线,58.4000,3.7055,6.6537,0.2682,0.9332,非核心科技
2026-07-17,BK1592,通信,通信设备,通信线缆及配套,329,-6.4200,23404.3700,23568.9100,22017.0500,22093.1500,6.5700,4.4400,228.9914,334,-3.2800,5,-19.6034,-23.9646,-31.2298,-7.3705,-40.4467,6.9329,-33.3349,普通轮动,普通轮动,4.6000,-18.7482,-14.0878,0.7852,0.8313,核心科技
2026-07-17,BK1327,电子,半导体,分立器件,330,-6.4400,16878.9800,16911.7100,15842.7400,15874.7400,6.3000,3.5500,212.4842,327,-2.7600,-3,-23.5566,-22.5762,-10.1237,13.0707,-29.2270,24.1987,-29.2270,退潮,退潮,-19.6000,-17.2469,-18.2947,0.9134,0.8957,核心科技
2026-07-17,BK1340,电子,元件,印制电路板,331,-6.4500,11497.3700,11509.1300,10840.1700,10879.6800,5.7500,4.3000,754.8763,336,-4.3700,5,-20.5997,-22.9791,-25.4105,13.5685,-31.5940,17.3963,-29.7915,普通轮动,普通轮动,3.8000,-17.6688,-15.1253,0.7828,0.9480,核心科技
2026-07-17,BK1602,医药生物,医疗服务,诊断服务,332,-6.4800,5496.7200,5508.7600,5178.6100,5179.8300,5.9600,3.7500,14.8575,323,-2.4100,-9,2.6935,-2.0851,7.5802,-6.0755,-20.9528,-8.8580,3.1122,上升轮动,上升轮动,50.5000,4.6994,9.8091,0.2914,1.6955,非核心科技
2026-07-17,BK1591,通信,通信设备,通信网络设备及器件,333,-6.5800,13828.9500,13828.9500,12991.0000,13052.3500,6.0000,4.0100,1013.1982,335,-4.1200,2,-18.3869,-18.1830,-21.1975,-11.5635,-28.0392,2.0454,-23.6124,退潮,退潮,-22.0000,-12.4203,-12.6385,0.8528,0.9668,核心科技
2026-07-17,BK1596,医药生物,生物制品,其他生物制品,334,-6.8900,7974.1300,7979.4300,7485.9600,7486.4200,6.1400,2.1900,95.9861,330,-2.8800,-4,-2.3240,-4.9435,14.7727,-12.8279,-18.1076,-3.2116,-0.1459,持续主线,持续主线,53.9000,2.0905,4.9039,0.2866,0.8804,非核心科技
2026-07-17,BK1331,电子,半导体,数字芯片设计,335,-6.9500,27251.5700,27299.2200,25529.7000,25549.0200,6.4400,3.2900,1155.3928,320,-2.3000,-15,-23.8821,-20.8744,-7.3668,9.6605,-25.7802,20.9332,-25.7802,退潮,退潮,-21.2000,-14.9644,-18.1968,0.9389,0.8197,核心科技
2026-07-17,BK1355,纺织服饰,服装家纺,运动服装,336,-7.9500,3047.8600,3107.9300,2814.2000,2817.0600,9.6000,5.9700,15.4840,174,0.4100,-162,-7.4242,-10.3887,0.6224,-6.4824,-22.5644,-1.1933,-7.0890,普通轮动,普通轮动,14.5000,-2.6493,0.5712,0.4730,0.7664,非核心科技
2026-07-17,BK1600,医药生物,医疗服务,医疗研发外包,337,-10.5800,7976.3500,7976.3800,7319.7100,7321.7000,8.0200,5.3400,247.3120,337,-5.8200,0,-1.9302,-3.8725,26.4968,0.8974,-15.7842,7.4148,-3.3870,上升轮动,上升轮动,53.7000,7.5011,9.6732,0.2754,1.1610,非核心科技
